avg_cadence,avg_heart_rate,avg_power,avg_speed,enhanced_avg_speed,enhanced_max_speed,ftp,id,intensity_factor,max_cadence,max_heart_rate,max_power,max_speed,normalized_power,threshold_power,timestamp,total_ascent,total_calories,total_cycles,total_descent,total_distance,total_elapsed_time,total_fat_calories,total_timer_time,training_stress_score
87,,,8.952,8.952,14.538,189,4917647,,108,,,14.538,,,2015-02-05 17:20:29,0,1206.0,5229,21.0,32250.33,3602.558,0.0,3602.558,
80,,,7.702,7.702,15.134,202,4917647,,185,,,15.134,,,2016-03-06 12:12:04,726,3370.0,14548,740.0,91902.9,14629.454,0.0,11932.115,
82,,,8.224,8.224,16.423,324,4917647,,107,,,16.423,,,2017-06-03 05:09:32,834,3263.0,13516,832.0,87471.32,10899.445,0.0,10635.5,
80,,,7.773,7.773,16.628,324,4917647,,108,,,16.628,,,2017-05-01 11:19:10,816,3143.0,13855,826.0,87056.86,11712.972,0.0,11199.995,
82,,,8.638,8.638,16.611,202,4917647,,109,,,16.611,,,2016-07-16 17:05:56,209,906.0,3463,213.0,23625.3,2778.059,0.0,2735.136,
74,,,7.621,7.621,15.948,242,4917647,,108,,,15.948,,,2018-07-06 07:35:41,769,2445.0,9754,774.0,67604.52,9114.395,0.0,8871.392,
79,,,8.5,8.5,15.444,242,4917647,,107,,,15.444,,,2018-07-15 09:24:31,515,2682.0,10577,517.0,76097.2,13308.177,0.0,8952.678,
85,,169,9.613,9.613,12.755,194,4917647,0.926,109,,361,12.755,185,200,2015-12-28 09:41:36,0,642.0,5458,1.0,36727.69,3820.804,,3820.804,90.4
83,155,201,10.342,10.342,12.568,193,4917647,1.015,98,172,351,12.568,203,200,2015-07-24 06:37:22,0,503.0,3488,0.0,26064.4,2520.128,,2520.128,71.3
83,,,8.083,8.083,15.038,324,4917647,,114,,,15.038,,,2017-09-15 15:51:03,243,1172.0,4815,253.0,32100.06,5007.184,0.0,3971.425,
83,,166,9.533,9.533,12.055,202,4917647,0.935,107,,294,12.055,187,200,2016-04-07 06:55:11,0,693.0,5860,0.0,40029.17,4201.124,,4199.124,101.3
77,,,9.011,9.011,14.288,189,4917647,,99,,,14.288,,,2014-05-18 18:25:40,10,755.0,3566,98.0,24918.85,699974.655,0.0,2765.286,
